"hosts.ID","inf.by","inf.time","out.time","active","p_max","t_incub"
"H-439","H-82",31,NA,1,0.740169809094043,6.40421572211384
"H-44","H-13",21,NA,1,0.250181753822367,5.87830893830919
"H-440","H-83",31,NA,1,0.892027156557725,4.76550802946144
"H-441","H-84",31,NA,1,0.915504157711225,4.06101170286539
"H-442","H-86",31,NA,1,0.791940447716841,6.14456790536374
"H-443","H-87",31,NA,1,0.432109075083648,4.54297553646768
"H-444","H-88",31,NA,1,0.884026430613906,6.35294823667711
"H-445","H-89",31,NA,1,0.790698286438289,6.01724849540184
"H-446","H-90",31,NA,1,0.764976555614286,4.5440967390958
"H-447","H-92",31,NA,1,0.716537385389646,4.40173453336728
"H-448","H-93",31,NA,1,0.77058990860077,4.99812883471052
"H-449","H-94",31,NA,1,0.623384546247145,5.49372870319824
"H-45","H-14",21,NA,1,0.580800117801693,4.7574916583054
"H-450","H-96",31,NA,1,0.483200994243894,4.75582087870816
"H-451","H-97",31,NA,1,0.584652439673871,5.44506505107976
"H-452","H-1",32,NA,1,0.701771727753546,6.29552250340988
